Name,Age,Gender,From,Real Time Position,Industry,Company
Leonardo Del vecchio,83,Male,United States,39.0,Fashion & Retail ,Eyeglasses
Dieter Schwarz,78,Male,United States,79.0,Fashion & Retail ,Retail
Thomas Peterffy,73,Male,United States,41.0,Finance and Investments ,Discount brokerage
Theo Albrecht,67,Male,United States,54.0,Fashion & Retail ,"Aldi, trader joe's"
Len Blavatnik,61,Male,United States,44.0,Diversified ,Diversified
He He,75,Male,China,47.0,Manufacturing ,Home appliances
Lui Lui,89,Male,China,46.0,Gambling & Casinos ,Casinos
James Simons,80,Male,China,50.0,Finance and Investments ,Hedge funds
Henry Sy,93,Male,Philippines,67.0,Diversified ,Diversified
Elon Musk,46,Male,Philippines,45.0,Automotive ,Tesla motors
Hinduja Hinduja,-9999,Male,United Kingdom,61.0,Diversified ,Diversified
Tadashi Yanai,69,Male,Japan,37.0,Fashion & Retail ,Fashion retail
Vladimir Lisin,62,Male,Russia,52.0,Metals & Mining ,"Steel, transport"
Laurene Powell jobs,54,Male,United States,48.0,Philanthropy/NGO ,"Apple, disney"
Azim Premji,72,Male,United States,71.0,Technology ,Software services
Alexey Mordashov,52,Male,United States,60.0,Metals & Mining ,"Steel, investments"
Lee Lee,76,Male,United States,62.0,Diversified ,Samsung
Lakshmi Mittal,68,Male,India,63.0,Metals & Mining ,Steel
Wang Wang,48,Male,People'S Republic Of China,64.0,Service ,Package delivery
Leonid Mikhelson,62,Male,People'S Republic Of China,59.0,Energy ,"Gas, chemicals"
Charoen Sirivadhanabhakdi,74,Male,Thailand,87.0,Food and Beverage ,"Drinks, real estate"
Pallonji Mistry,89,Male,Ireland,57.0,Construction & Engineering ,Construction
Ray Dalio,68,Male,Ireland,68.0,Finance and Investments ,Hedge funds
Takemitsu Takizaki,73,Male,Ireland,65.0,Manufacturing ,Sensors
William Ding,46,Male,China,80.0,Technology ,Online games
R. Hartono,77,Male,China,91.0,Finance and Investments ,"Banking, tobacco"
Gina Rinehart,64,Female,China,66.0,Metals & Mining ,Mining
German Larrea mota velasco,64,Female,China,86.0,Metals & Mining ,Mining
Carl Icahn,82,Female,United States,58.0,Finance and Investments ,Investments
Stefan Persson,70,Male,United States,78.0,Fashion & Retail ,H&m
Michael Hartono,78,Male,United States,102.0,Manufacturing ,"Banking, tobacco"
Joseph Lau,66,Male,United States,73.0,Real Estate ,Real estate
Thomas Kwok,-9999,Male,Hong Kong,75.0,Real Estate ,Real estate
Vagit Alekperov,67,Male,Hong Kong,69.0,Energy ,Oil
James Ratcliffe,65,Male,Hong Kong,89.0,Manufacturing ,Chemicals
Donald Bren,86,Male,United States,76.0,Real Estate ,Real estate
Iris Fontbona,75,Female,United States,70.0,Metals & Mining ,Mining
Gennady Timchenko,65,Male,United States,74.0,Energy ,"Oil, gas"
Abigail Johnson,56,Female,United States,72.0,Finance and Investments ,Money management
Vladimir Potanin,57,Male,United States,82.0,Metals & Mining ,Metals
Lukas Walton,30,Male,United States,101.0,Fashion & Retail ,Walmart
Charlene De carvalho-heineken,63,Female,Netherlands,81.0,Food and Beverage ,Heineken
Zhang Zhang,46,Male,Netherlands,85.0,Technology ,Internet media
Petr Kellner,54,Male,Netherlands,100.0,Finance and Investments ,Banking
Andrey Melnichenko,46,Male,Russia,105.0,Energy ,"Coal, fertilizers"
David Reuben,-9999,Male,Russia,88.0,Real Estate ,"Investments, real estate"
Klaus-michael Kuehne,81,Male,Russia,99.0,Logistics ,Shipping
Li Li,55,Male,Russia,83.0,Automotive ,Automobiles
Mikhail Fridman,54,Male,Russia,106.0,Energy ,"Oil, banking, telecom"
Rupert Murdoch,87,Male,Russia,55.0,Media & Entertainment ,"Newspapers, tv network"
Dhanin Chearavanont,79,Male,Russia,95.0,Diversified ,Diversified
Robert Kuok,94,Male,Russia,84.0,Diversified ,"Palm oil, shipping, property"
Emmanuel Besnier,47,Male,Russia,90.0,Food and Beverage ,Cheese
Shiv Nadar,72,Male,Russia,108.0,Technology ,Software services
Viktor Vekselberg,61,Male,Russia,107.0,Energy ,"Metals, energy"
Aliko Dangote,61,Male,Nigeria,117.0,Manufacturing ,"Cement, sugar, flour"
Harold Hamm,72,Male,United States,56.0,Energy ,Oil & gas
Steve Cohen,62,Male,United States,137.0,Finance and Investments ,Hedge funds
Dustin Moskovitz,33,Male,United States,77.0,Technology ,Facebook
Marcel Telles,68,Male,United States,109.0,Food and Beverage ,Beer
Reinhold Wuerth,83,Male,United States,118.0,Manufacturing ,Fasteners
Charles Ergen,65,Male,United States,141.0,Media & Entertainment ,Satellite tv
Eric Schmidt,63,Male,United States,92.0,Technology ,Google
Philip Anschutz,78,Male,United States,104.0,Finance and Investments ,Investments
Jim Kennedy,70,Male,United States,157.0,Media & Entertainment ,Media
Blair Parry-okeden,68,Female,United States,156.0,Media & Entertainment ,Media
Alain Wertheimer,69,Female,France,96.0,Fashion & Retail ,Chanel
Gerard Wertheimer,67,Female,France,97.0,Fashion & Retail ,Chanel
Leonard Lauder,81,Female,France,94.0,Fashion & Retail ,Estee lauder
Heinz Thiele,77,Male,Germany,132.0,Construction & Engineering ,Brakes
Dilip Shanghvi,62,Male,Germany,121.0,Healthcare ,Pharmaceuticals
Hasso Plattner,74,Male,Germany,103.0,Technology ,Software
Stephen Schwarzman,71,Male,United States,111.0,Finance and Investments ,Investments
Lei Lei,48,Male,United States,115.0,Technology ,Smartphones
Hans Rausing,92,Male,Sweden,114.0,Manufacturing ,Packaging
Alisher Usmanov,64,Male,Sweden,112.0,Metals & Mining ,"Steel, telecom, investments"
Donald Newhouse,88,Male,United States,122.0,Media & Entertainment ,Media
Peter Woo,71,Male,United States,116.0,Real Estate ,Real estate
Luis Sarmiento,85,Male,United States,124.0,Finance and Investments ,Banking
Robin Li,49,Male,China,93.0,Technology ,Internet search
Carlos Sicupira,70,Male,China,134.0,Food and Beverage ,Beer
Seo Seo,60,Male,South Korea,123.0,Healthcare ,Biotech
Kumar Birla,51,Male,South Korea,145.0,Diversified ,Commodities
Alexander Otto,50,Male,Germany,129.0,Real Estate ,Real estate
Stefano Pessina,77,Male,Germany,126.0,Fashion & Retail ,Drugstores
Udo Tschira,-9999,Male,Germany,110.0,Technology ,Software
Wang Wang,50,Male,Germany,147.0,Metals & Mining ,"Mining, copper products"
Andrew Beal,65,Male,United States,119.0,Finance and Investments ,"Banks, real estate"
Lee Lee,88,Male,Hong Kong,127.0,Food and Beverage ,"Oyster sauce, real estate"
John Menard,78,Male,United States,130.0,Fashion & Retail ,Home improvement stores
Xu Xu,60,Male,United States,158.0,Food and Beverage ,"Snacks, beverages"
Zhou Zhou,47,Male,United States,271.0,Technology ,Security software
Gong Gong,53,Male,Hong Kong,139.0,Finance and Investments ,Video surveillance
Michael Otto,75,Male,Hong Kong,142.0,Fashion & Retail ,"Retail, real estate"
David Tepper,60,Male,Hong Kong,136.0,Finance and Investments ,Hedge funds
Roman Abramovich,51,Male,Hong Kong,125.0,Diversified ,"Steel, investments"
Liu Liu,43,Male,People'S Republic Of China,144.0,Technology ,E-commerce
Robert Ng,-9999,Male,Singapore,143.0,Real Estate ,Real estate
Alberto Bailleres gonzalez,86,Male,Singapore,165.0,Metals & Mining ,Mining
Uday Kotak,59,Male,India,113.0,Finance and Investments ,Banking
Pierre Omidyar,51,Male,India,135.0,Technology ,Ebay
Walter Droege,65,Male,India,154.0,Service ,Consulting
Dietmar Hopp,78,Male,India,133.0,Technology ,Software
Graeme Hart,63,Male,India,155.0,Finance and Investments ,Investments
Eduardo Saverin,35,Male,India,128.0,Technology ,Facebook
Yan Yan,45,Male,India,166.0,Real Estate ,Real estate
Radhakishan Damani,63,Male,India,120.0,Finance and Investments ,"Investments, retail"
German Khan,56,Male,India,174.0,Energy ,"Oil, banking, telecom"
Ronald Perelman,75,Male,India,151.0,Finance and Investments ,Leveraged buyouts
Gautam Adani,56,Male,India,210.0,Diversified ,"Commodities, ports"
Micky Arison,68,Male,United States,161.0,Service ,Carnival cruises
Pan Pan,48,Male,China,197.0,Technology ,Electronics
Joseph Tsai,54,Male,China,138.0,Technology ,E-commerce
Thomas Frist,79,Male,United States,148.0,Healthcare ,Health care
Mikhail Prokhorov,53,Male,Russia,167.0,Finance and Investments ,Investments
Galen Weston,77,Male,Russia,162.0,Fashion & Retail ,Retail
Zong Zong,72,Male,Russia,163.0,Food and Beverage ,Beverages
Eyal Ofer,68,Male,Israel,164.0,Diversified ,"Real estate, shipping"
Charles Schwab,80,Male,United States,149.0,Finance and Investments ,Discount brokerage
Gianluigi Aponte,77,NaN,United States,177.0,Logistics ,Shipping
Herbert Kohler,79,Male,United States,169.0,Manufacturing ,Plumbing fixtures
Viktor Rashnikov,69,Male,United States,173.0,Manufacturing ,Steel
Harry Triguboff,85,Male,United States,152.0,Real Estate ,Real estate
August Von finck,88,Male,United States,170.0,Finance and Investments ,Investments
Yao Yao,48,Male,United States,179.0,Diversified ,Conglomerate
Jan Koum,42,Male,United States,160.0,Technology ,Whatsapp
Cyrus Poonawalla,77,Male,India,190.0,Healthcare ,Vaccines
James Goodnight,75,Male,India,150.0,Technology ,Software
Ken Griffin,49,Male,United States,171.0,Finance and Investments ,Hedge funds
Giorgio Armani,83,Male,Italy,185.0,Fashion & Retail ,Luxury goods
Ernesto Bertarelli,52,Male,Italy,178.0,Healthcare ,"Biotech, investments"
Savitri Jindal,68,Female,India,193.0,Metals & Mining ,Steel
Sunil Mittal,60,Male,India,205.0,Telecom ,Telecom
James Chambers,61,Male,India,268.0,Media & Entertainment ,Media
Katharine Rayner,73,Male,United States,269.0,Media & Entertainment ,Media
Margaretta Taylor,76,Female,United States,270.0,Media & Entertainment ,Media
Terry Gou,67,Male,Taiwan,204.0,Technology ,Electronics
Gordon Moore,89,Male,United States,153.0,Technology ,Intel
James Irving,90,Male,United States,183.0,Diversified ,Diversified
Stanley Kroenke,70,Male,United States,184.0,Sports ,"Sports, real estate"
Melker Schorling,71,Male,Sweden,188.0,Finance and Investments ,Investments
Johann Graf,71,Male,Sweden,209.0,Gambling & Casinos ,Gambling
Guo Guo,51,Male,Sweden,189.0,Diversified ,Conglomerate
John Malone,77,Male,United States,201.0,Media & Entertainment ,Cable television
Xavier Niel,50,Male,United States,322.0,Telecom ,"Internet, telecom"
Silvio Berlusconi,81,Male,United States,231.0,Diversified ,Media
Carl Cook,55,Male,United States,176.0,Healthcare ,Medical devices
David Geffen,75,Male,United States,182.0,Media & Entertainment ,"Movies, record labels"
Hui Hui,67,Male,United States,168.0,Real Estate ,Real estate
Walter Kwok,67,Male,Hong Kong,196.0,Real Estate ,Real estate
George Soros,87,Male,Hong Kong,194.0,Finance and Investments ,Hedge funds
Edward Johnson,87,Male,Hong Kong,198.0,Finance and Investments ,Money management
Massimiliana Landini aleotti,75,Female,Hong Kong,215.0,Healthcare ,Pharmaceuticals
David Duffield,77,Male,Hong Kong,180.0,Technology ,Business software
George Kaiser,75,Male,Hong Kong,195.0,Energy ,"Oil & gas, banking"
Patrick Soon-shiong,65,Male,United States,207.0,Healthcare ,Pharmaceuticals
Zhou Zhou,48,Male,United States,272.0,Technology ,Smartphone screens
Nicky Oppenheimer,73,Male,South Africa,200.0,Metals & Mining ,Diamonds
Sun Sun,59,Male,South Africa,131.0,Healthcare ,Pharmaceuticals
Wu Wu,54,Female,China,186.0,Real Estate ,Real estate
Alexei Kuzmichev,55,Male,China,236.0,Energy ,"Oil, banking, telecom"
Stephen Ross,78,Male,China,206.0,Real Estate ,Real estate
Vincent Bollore,66,Male,France,293.0,Finance and Investments ,Investments
Pauline Keinath,84,Female,France,212.0,Food and Beverage ,Cargill
Jay Lee,50,Male,France,230.0,Diversified ,Samsung
Anders Povlsen,45,Male,Denmark,239.0,Fashion & Retail ,Fashion retail
Eli Broad,85,Male,United States,216.0,Finance and Investments ,Investments
Michael Kadoorie,76,Male,United States,202.0,Energy ,"Hotels, energy"
Iskander Makhmudov,54,Male,Russia,229.0,Metals & Mining ,"Mining, metals, machinery"
Frederik Paulsen,67,Male,Russia,225.0,Healthcare ,Health care
Sun Sun,55,Male,Russia,187.0,Real Estate ,Real estate
Christy Walton,69,Male,United States,259.0,Fashion & Retail ,Walmart
Shahid Khan,67,Male,United States,218.0,Automotive ,Auto parts
Ananda Krishnan,80,Male,Malaysia,274.0,Telecom ,"Telecoms, media, oil-services"
Carrie Perrodo,67,Female,Malaysia,175.0,Energy ,Oil
Quek Quek,76,Female,Malaysia,221.0,Diversified ,"Banking, property"
Wang Wang,51,Female,China,316.0,Real Estate ,Real estate
John Doerr,66,Male,China,181.0,Technology ,Venture capital
Patrick Drahi,54,Male,China,601.0,Telecom ,Telecom
Eva Gonda de rivera,-9999,Male,Mexico,267.0,Food and Beverage ,Beverages
Willi Liebherr,-9999,NaN,Mexico,240.0,Construction & Engineering ,Construction
Ricardo Salinas pliego,62,Male,Mexico,327.0,Fashion & Retail ,"Retail, media"
Suh Suh,55,Male,Mexico,226.0,Fashion & Retail ,Cosmetics
Pollyanna Chu,60,Female,Mexico,840.0,Finance and Investments ,Financial services
John Fredriksen,73,Male,Mexico,213.0,Logistics ,Shipping
Goh Goh,91,Male,Mexico,191.0,Manufacturing ,Paints
Sri Lohia,65,Male,Mexico,222.0,Manufacturing ,Polyester
Lu Lu,65,Male,China,275.0,Real Estate ,Real estate
Jorn Rausing,58,Male,China,208.0,Food and Beverage ,Packaging
Johann Rupert,68,Male,South Africa,242.0,Fashion & Retail ,Luxury goods
Jacques Saade,81,Male,France,228.0,Logistics ,Shipping
Wu Wu,62,Male,People'S Republic Of China,234.0,Food and Beverage ,Wine
Leonid Fedun,62,Male,Russia,219.0,Energy ,Oil
Kim Kim,50,Male,Russia,254.0,Technology ,Online games
Sandra Ortega mera,49,Female,Spain,220.0,Fashion & Retail ,Zara
Jim Pattison,89,Female,Canada,243.0,Diversified ,Diversified
Michael Platt,50,Female,Uk,253.0,Finance and Investments ,Hedge funds
Chan Chan,77,Female,Uk,386.0,Real Estate ,Real estate
David Green,76,Female,United States,203.0,Fashion & Retail ,Retail
Hank Meijer,-9999,Male,United States,223.0,Fashion & Retail ,Supermarkets
Dmitry Rybolovlev,51,Male,United States,237.0,Manufacturing ,Fertilizer
Tsai Tsai,61,Male,United States,199.0,Food and Beverage ,"Food, beverages"
Andreas Von bechtolsheim,62,Male,United States,227.0,Technology ,Google
Oleg Deripaska,50,Male,United States,681.0,Metals & Mining ,"Aluminum, utilities"
Liu Liu,70,Male,People'S Republic Of China,249.0,Service ,Diversified
Ludwig Merckle,53,Male,Germany,306.0,Finance and Investments ,Pharmaceuticals
Brian Acton,46,Male,United States,256.0,Technology ,Whatsapp
John Grayken,62,Male,United States,248.0,Finance and Investments ,Private equity
Ann Kroenke,69,Male,United States,313.0,Fashion & Retail ,Walmart
Augusto Perfetti,-9999,Male,United States,255.0,Food and Beverage ,Candy
Finn Rausing,63,Male,Sweden,250.0,Food and Beverage ,Packaging
Kirsten Rausing,66,Male,Sweden,251.0,Food and Beverage ,Packaging
Odd Reitan,66,Male,Norway,261.0,Fashion & Retail ,"Retail, real estate"
Nassef Sawiris,57,Male,Norway,235.0,Construction & Engineering ,"Construction, chemicals"
Wee Wee,89,Male,Norway,264.0,Finance and Investments ,Banking
Aloys Wobben,66,Male,Norway,305.0,Energy ,Wind turbines
Leon Black,66,Male,United States,258.0,Finance and Investments ,Private equity
Ivan Glasenberg,61,Male,United States,241.0,Metals & Mining ,Mining
John Paulson,62,Male,United States,277.0,Finance and Investments ,Hedge funds
Wei Wei,54,Male,China,365.0,Automotive ,Automobiles
Francis Choi,70,Male,China,262.0,Real Estate ,Real estate
Erivan Haub,85,Male,China,262.0,Fashion & Retail ,Retail
Jason Jiang,45,Male,China,308.0,Media & Entertainment ,Advertising
Suleiman Kerimov,52,Male,China,396.0,Finance and Investments ,Investments
Ian Livingstone,-9999,Male,China,276.0,Real Estate ,Real estate
Pang Pang,62,Male,China,172.0,Food and Beverage ,Soy sauce maker
David Shaw,67,Male,United States,282.0,Finance and Investments ,Hedge funds
Kushal Singh,86,Male,United States,337.0,Real Estate ,Real estate
John Sobrato,79,Male,United States,233.0,Real Estate ,Real estate
Acharya Balkrishna,45,Male,United States,252.0,Food and Beverage ,Consumer goods
Guenther Fielmann,78,Male,United States,294.0,Healthcare ,Optometry
Daniel Gilbert,56,Male,United States,257.0,Finance and Investments ,Quicken loans
Antonia Johnson,74,Male,United States,285.0,Diversified ,Diversified
Vikram Lal,76,Male,United States,266.0,Automotive ,Motorcycles
Akira Mori,81,Male,United States,265.0,Real Estate ,Real estate
Maria-elisabeth Schaeffler-thumann,76,Female,United States,329.0,Automotive ,Auto parts
Albert Frere,92,Male,United States,299.0,Finance and Investments ,Investments
Richard Kinder,73,Male,United States,273.0,Energy ,Pipelines
Robert Kraft,77,Male,United States,278.0,Sports ,New england patriots
Ralph Lauren,78,Male,United States,232.0,Fashion & Retail ,Ralph lauren
Bruno Schroder,85,Male,United States,331.0,Finance and Investments ,Banking
Nusli Wadia,74,Male,United States,217.0,Food and Beverage ,Consumer goods
Pierre Bellon,88,Male,France,377.0,Service ,Food services
Les Wexner,80,Male,France,335.0,Fashion & Retail ,Retail
Benu Bangur,87,Male,France,362.0,Manufacturing ,Cement
David Cheriton,67,Male,Canada,260.0,Technology ,Google
Ma Ma,54,Male,China,192.0,Fashion & Retail ,"Textiles, apparel"
Whitney Macmillan,88,Male,China,291.0,Food and Beverage ,Cargill
Dan Olsson,71,Male,Sweden,359.0,Diversified ,Diversified
Vivek Sehgal,61,Male,Sweden,381.0,Automotive ,Auto parts
Teh Teh,88,Male,Sweden,281.0,Finance and Investments ,Banking
Abdulla Al ghurair,-9999,Male,Sweden,315.0,Diversified ,Diversified
Maria Aramburuzabala,55,Female,Sweden,295.0,Food and Beverage ,"Beer, investments"
Ralph Dommermuth,54,Male,Sweden,300.0,Technology ,Internet service provider
Frank Lowy,87,Male,Sweden,304.0,Real Estate ,Shopping malls
Wolfgang Marguerre,77,Male,Sweden,320.0,Healthcare ,Pharmaceuticals
Marijke Mars,53,Female,United States,287.0,Food and Beverage ,"Candy, pet food"
Pamela Mars,57,Female,United States,288.0,Food and Beverage ,"Candy, pet food"
Valerie Mars,59,Female,United States,289.0,Food and Beverage ,"Candy, pet food"
Victoria Mars,61,Female,United States,290.0,Food and Beverage ,"Candy, pet food"
David Barclay,84,Female,United States,284.0,Diversified ,"Media, retail"
John Gokongwei,91,Male,United States,556.0,Diversified ,Food and beverage
Kwon Kwon,44,Male,United States,529.0,Technology ,Online games
Nancy Laurie,67,Female,United States,387.0,Fashion & Retail ,Walmart
Lin Lin,81,Male,United States,324.0,Real Estate ,Real estate
Tom Love,81,NaN,United States,263.0,Fashion & Retail ,Retail & gas stations
Robert Rowling,64,Male,United States,317.0,Energy ,Investments
Dennis Washington,83,Male,United States,303.0,Logistics ,"Construction, mining"
Yao Yao,53,Male,China,283.0,Manufacturing ,Furniture
Zhang Zhang,55,Male,China,245.0,Fashion & Retail ,Appliance retailer
Juan Beckmann vidal,78,Male,China,437.0,Food and Beverage ,Tequila
David Sun,66,Male,China,246.0,Technology ,Computer hardware
John Tu,76,Male,China,247.0,Technology ,Computer hardware
Martin Viessmann,64,Male,China,352.0,Manufacturing ,Heating equipment
Stef Wertheimer,91,Male,China,318.0,Manufacturing ,Metalworking tools
Hansjoerg Wyss,83,Male,Switzerland,319.0,Healthcare ,Medical devices
James Dyson,71,Male,Switzerland,353.0,Manufacturing ,Vacuums
Laurence Graff,80,Male,Switzerland,333.0,Fashion & Retail ,Diamond jewelry
Jen-hsun Huang,55,Male,Switzerland,286.0,Technology ,Semiconductors
Charles Johnson,85,Male,Switzerland,394.0,Finance and Investments ,Money management
Jerry Jones,75,Male,Switzerland,334.0,Sports ,Dallas cowboys
Kei Kei,52,Male,Switzerland,244.0,Real Estate ,Real estate
Kwee Kwee,-9999,Male,Switzerland,351.0,Real Estate ,Real estate
Lee Lee,79,Male,Switzerland,389.0,Manufacturing ,"Palm oil, property"
Richard Lefrak,72,Male,United States,280.0,Real Estate ,Real estate
Shigenobu Nagamori,73,Male,United States,328.0,Manufacturing ,Motors
Steven Rales,67,Male,United States,297.0,Manufacturing ,Manufacturing
Friede Springer,75,Female,United States,422.0,Media & Entertainment ,Publishing
Yeung Yeung,54,Male,Hong Kong,330.0,Manufacturing ,Electronics
Rinat Akhmetov,51,Male,Hong Kong,345.0,Metals & Mining ,"Steel, coal"
Shari Arison,60,Female,Israel,360.0,Service ,Carnival cruises
Dannine Avara,54,Female,Israel,310.0,Energy ,Pipelines
Rahel Blocher,42,Female,Switzerland,379.0,Manufacturing ,Chemicals
Andrew Currie,62,Male,Uk,400.0,Manufacturing ,Chemicals
Scott Duncan,34,Male,United States,312.0,Energy ,Pipelines
Milane Frantz,48,Male,United States,311.0,Energy ,Pipelines
Diane Hendricks,71,Female,United States,414.0,Construction & Engineering ,Roofing
Magdalena Martullo-blocher,49,Female,United States,380.0,Manufacturing ,Chemicals
Hiroshi Mikitani,53,Female,Japan,493.0,Fashion & Retail ,Online retail
Gabe Newell,55,Male,United States,339.0,Gambling & Casinos ,Videogames
Pan Pan,55,Male,United States,344.0,Real Estate ,"Real estate, finance"
Anthony Pratt,58,Male,Australia,378.0,Manufacturing ,Manufacturing
John Reece,61,Male,Australia,401.0,Manufacturing ,Chemicals
Randa Williams,56,Female,Australia,309.0,Energy ,Pipelines
Zhang Zhang,38,Male,Australia,224.0,Service ,After-school tutoring
Zhang Zhang,71,Male,Australia,413.0,Metals & Mining ,Aluminum products
Jean-michel Besnier,51,Male,Australia,349.0,Food and Beverage ,Cheese
Marie Besnier beauvalot,36,Female,Australia,350.0,Food and Beverage ,Cheese
Richard Devos,92,Female,Australia,363.0,Service ,Amway
Michael Herz,74,Male,Australia,366.0,Fashion & Retail ,Coffee
Wolfgang Herz,67,Male,Germany,367.0,Fashion & Retail ,Coffee
Kjeld Kristiansen,70,Male,Denmark,370.0,Manufacturing ,Lego
Sofie Kristiansen,42,Male,Denmark,371.0,Manufacturing ,Lego
Thomas Kristiansen,-9999,Male,Denmark,372.0,Manufacturing ,Lego
Lam Lam,-9999,Female,Denmark,348.0,Manufacturing ,Smartphone screens
Lin Lin,62,Male,Denmark,486.0,Technology ,Electronics
Margarita Louis-dreyfus,56,Male,Denmark,356.0,Food and Beverage ,Commodities
George Roberts,74,Male,Denmark,323.0,Finance and Investments ,Private equity
Edward Roski,79,Male,United States,301.0,Real Estate ,Real estate
Agnete Thinggaard,-9999,Female,United States,369.0,Manufacturing ,Lego
Mike Adenuga,65,Female,Nigeria,469.0,Diversified ,"Telecom, oil"
Jim Davis,75,Male,United States,292.0,Manufacturing ,New balance
David Filo,52,Male,United States,307.0,Technology ,Yahoo
Pansy Ho,55,Female,United States,374.0,Gambling & Casinos ,Casinos
Henry Kravis,74,Male,United States,332.0,Finance and Investments ,Private equity
Emanuele Saputo,81,Male,United States,347.0,Food and Beverage ,Cheese
Xu Xu,83,Male,United States,487.0,Manufacturing ,"Chemicals, logistics"
Alexander Abramov,59,Male,Russia,314.0,Metals & Mining ,"Steel, mining"
Israel Englander,69,Male,Russia,296.0,Finance and Investments ,Hedge funds
Frits Goldschmeding,84,Male,Russia,420.0,Service ,Temp agency
Marian Ilitch,85,Female,United States,420.0,Food and Beverage ,"Pizza, sports team"
Bruce Kovner,73,Female,United States,364.0,Finance and Investments ,Hedge funds
George Lucas,74,Male,United States,357.0,Media & Entertainment ,Star wars
Kalanithi Maran,52,Male,United States,507.0,Media & Entertainment ,Media
Elisabeth Mohn,77,Female,United States,415.0,Media & Entertainment ,Publishing
Robert Rich,77,Male,United States,341.0,Food and Beverage ,Frozen foods
Wang Wang,52,Male,People'S Republic Of China,496.0,Automotive ,"Batteries, automobiles"
Maria Amorim,83,Female,People'S Republic Of China,373.0,Diversified ,"Energy, investments"
Pyotr Aven,63,Male,Russia,443.0,Energy ,"Oil, banking, telecom"
Bernard Marcus,89,Male,Russia,354.0,Fashion & Retail ,Home depot
Pedro Moreira salles,58,Male,Russia,558.0,Diversified ,"Banking, minerals"
Frederick Smith,73,Male,United States,361.0,Logistics ,Fedex
Ronda Stryker,64,Female,United States,336.0,Healthcare ,Medical equipment
Richard Branson,67,Male,United Kingdom,388.0,Diversified ,Virgin
Subhash Chandra,67,Male,India,441.0,Media & Entertainment ,Media
Denise Coates,50,Male,Uk,446.0,Gambling & Casinos ,Online gambling
Martha Ingram,82,Female,Uk,358.0,Media & Entertainment ,"Book distribution, transportation"
Law Law,70,Male,Uk,406.0,Real Estate ,Real estate
Joe Lewis,81,Male,Uk,391.0,Finance and Investments ,Investments
